id_n,weight,Year,GROSS_INCOME,CONS_Food1,CONS_Food2,CONS_Alcohol_Tobacco,CONS_Clothing_Footwear,CONS_Housing,CONS_Hhold_Goods_Services,CONS_Health,CONS_Transport,CONS_Communication,CONS_Recreation_Culture,CONS_Education,CONS_Restaurants_Hotels,CONS_Miscellaneous,CONS_Total,CONS_Other,'CONS_Food
9101,87.15,2015,30916.79882,844.1617338,0,0,4200,1440,3000,84,384,2700,0,2000.0000615999998,600,0,15252.1618,14408.00006,10129.94081
3303,84.16,2015,44619.99902,356.53,0,0,0,2400,0,0,24950,2400,700,0,2700,4176,37682.53,37326,4278.36
24014,103.42,2015,3076.0001220000004,329.2,0,0,1050,0,0,0,1152,0,0,0,0,0,2531.2,2202,3950.3999999999996
57410,77.19,2015,43156.784184000004,493.33,0,0,3549.9999995999997,4587.730841,1860,36,2400,5448,0,2430,0,626,21431.06084,20937.73084,5919.96
9610,76.35,2015,129266.71871999999,533.46,0,0,7599.999999600001,4800,2226,3401.0000004000003,12720,4800,2952,3639.999938,0,4989.6,47662.059938399994,47128.599938399995,6401.52
48808,92.22,2015,17415.842279999997,411.73,0,0,249.99999995999997,0,0,0,0,0,0,0,0,0,661.73,249.99999995999997,4940.76
27906,81.11,2015,16812.7998,356,0,0,35,120,800,0,0,0,0,0,0,1184,2495,2139,4272
53815,78.28,2015,19065.02344,415.17,0,9404.64,0,0,576,0,576,960,0,0,0,288,12219.81,11804.64,4982.04
53202,52.46,2015,499121.5313,439.34,0,0,0,3600,0,0,50000,0,1000,0,0,1248,56287.340003959995,55848,5272.08
47514,154.48,2015,11157.59985,493.32,0,0,0,0,0,0,0,0,0,0,108,0,601.3199999999999,108,5919.84
40409,105.24,2015,1383.359986,388.92,0,0,0,0,0,0,0,0,0,2299.999969,0,0,2688.919969,2299.999969,4667.04
33903,107.63,2015,4648.951172,428.52,0,1612.2240000000002,550,240,0,0,336,1680,500,0,4920,0,10266.744,9838.224,5142.24
4215,71.66,2015,29175.60937,356.53,0,0,4950,2400,520,12,10896,2400,0,2475,4128,2400,30537.53,30181,4278.36
3006,96.67,2015,35916.55078,356.53,0,0,0,0,0,0,4704,1440,0,0,144,6360,13004.53,12648,4278.36
23303,40.08,2015,16251.234371999999,656.7603732,0,0,0,0,0,0,0,240,0,0,0,0,896.7603732,240,7881.124478
41215,131.6,2015,18360,412.13,0,0,0,3000,598.8,0,0,1440,0,0,384,981.5999999999999,6816.53,6404.4,4945.5599999999995
50302,68.79,2015,16136.37744,421.87,0,9380.6784,350.00000004000003,0,0,0,0,1920,0,0,0,1918.8000000000002,13991.3484,13569.4784,5062.4400000000005
26905,79.3,2015,10800,536.9978117,0,0,0,0,0,0,720,480,0,0,1200,0,2936.997812,2400,6443.973740400001
2615,46.85,2015,63354.35742,358.65,0,2040.80688,0,5520,1824,0,4800,960,0,0,0,4656,20159.45688,19800.80688,4303.799999999999
11510,158.13,2015,24369.999023999997,390.18,0,0,450,0,0,12,3316.7999999999997,360,0,0,493.20001607999995,1776,6798.180016079999,6408.000016079999,4682.16
47615,167.84,2015,178800,493.32,0,9512.121599999999,1800,5400,4500,0,93400,5040,0,0,1560,2400,124105.4416,123612.1216,5919.84
23011,135.47,2015,4827.999755999999,329.2,0,0,450,0,0,0,0,1200,0,0,0,0,1979.2,1650,3950.3999999999996
41810,85.15,2015,32314.27734,959.8411524,0,0,3999.9999995999997,2280,0,273.99999995999997,768,240,0,2159.999994,240,1296,12217.84115,11257.999993559999,11518.09383
35613,40.87,2015,60800.71876,1222.55,0,0,7177.6,38930.90213,3104.3999999999996,60,960,4800,3600,1140,0,20980.800000000003,81976.25213,80753.70213,14670.599999999999
16402,119.03,2015,37789.458984000004,660.8050117,0,0,2300.0000004000003,1200,3800.0000004000003,0,3360,5760,0,0,0,0,17080.805012499997,16420,7929.66014
29110,60.32,2015,20441.9209,312.33,0,940.4639999999999,2259.9999995999997,2880,0,0,700,2400,0,0,0,384,9876.793999559999,9564.464,3747.96
35408,74.44,2015,39635.64551,399.3,0,0,0,2400,0,0,0,2880,0,650.0000152800001,0,1800,8129.3000152800005,7730.000015,4791.6
51812,91.13,2015,52450.945307999995,846.15,0,0,1034,5523.599575,718.8,2228.0000004000003,54144,720,0,0,7064.000000399999,450.39999995999995,72728.94958,71882.79958,10153.8
3104,61.82,2015,146400,356.53,0,0,1900,5040,0,0,0,4800,0,0,168,0,12264.529999600001,11908,4278.36
38815,79.26,2015,35766.72071,413.83,0,0,0,336,5576,0,1920,1200,0,1141.999981,0,3984,14571.829981359999,14157.999981359999,4965.96
15202,67.95,2015,14500.000488000001,361.46,0,0,350.00000004000003,600,0,264,2160,1320,0,0,1440,9600,16095.460000039999,15734,4337.5199999999995
14706,98.02,2015,49965.08203199999,361.46,0,0,3800.0000004000003,0,9000,800,58220,0,0,1100.0000152799998,528,0,73809.46002,73448.00002,4337.5199999999995
27405,69.52,2015,53532.79687,469.3965645,0,0,0,0,188.39999999999998,0,16933.00001,5280,1200,0,312,1054.8000000000002,25437.59657,24968.20001,5632.758774
44413,73.24,2015,27165.6123,390.09,0,0,1600,2359.999992,0,249.99999995999997,155.0000038,960,0,19.99999952,1104,2748,9587.089995,9196.999995,4681.08
46502,73.42,2015,28781.36132,409.16,0,0,7587.599999999999,13948.738691999999,476.40000000000003,660,1056,1440,500,519.9999847199999,0,20168.4,46766.29867676001,46357.138676760005,4909.92
21510,80.49,2015,6292.048095600001,410.45,0,0,1600,3943.018468,14000,1250.0000003999999,65100,14400,0,0,0,9600,110303.46847159999,109893.0185,4925.4
4011,120.98,2015,44040,356.53,0,0,400,840,6010.96,0,5496,5568,1690,2192.0000615999998,5568,6166.799999999999,34288.29006,33931.76006,4278.36
28410,129.76,2015,1129.9999694399999,357.3980777,0,0,0,150,0,0,0,0,0,0,0,0,507.3980777,150,4288.776932
9303,90.77,2015,151383.36323999998,386.41,0,0,0,0,0,480,0,4800,0,1609.999969,5328,14400,27004.409969199998,26617.99997,4636.92
31605,85.62,2015,128214.6797,431.16,0,736.4856,750,0,0,0,0,1128,0,0,0,2424,5469.6456,5038.4856,5173.92
15108,64.1,2015,23282.954592000002,464.0976152,0,116.2872,150,1800,0,0,0,1536,0,272.0000081,0,0,4338.384823,3874.287208,5569.171382
52406,77.16,2015,7222.8002928000005,320.45,0,0,350.00000004000003,0,99.99999999600001,0,0,0,0,0,0,0,770.4500000360001,450.0000000360001,3845.3999999999996
15203,67.95,2015,37730.32325,387.15,0,3028.368,3750,4603.583102,200.00000004000003,1860,28505,6000,0,8169.999755999999,8600.40001,86558,151662.5009,151275.3509,4645.799999999999
49815,79.63,2015,8269.743896,421.87,0,0,1910,0,600,0,0,960,0,1650,2376,766.6,8684.470000360001,8262.6,5062.4400000000005
3106,61.82,2015,255266.7187,526.2087492,0,0,3999.9999995999997,4800,0,19350,41010,14400,7200,46149.99902,0,0,137436.2078,136909.999,6314.504990400001
15306,145.03,2015,25950,361.46,0,564.2784,0,0,0,0,0,480,0,0,886.8000184,0,2292.538418,1931.0784183600001,4337.5199999999995
402,78.8,2015,29199.999023999997,543.7400022,0,0,0,3180,1440,0,1920,2880,500,349.99999235999996,0,14160,24973.73999,24429.99999,6524.880026
4914,70.04,2015,96130.96876,383.1136008,0,0,0,0,11400,2000,16800,19200,8160,349.99999235999996,0,0,58293.11359,57909.99999,4597.36321
16101,74.52,2015,52000.001952000006,493.45,0,0,2300.0000004000003,1200,262.79999999999995,0,1680,2880,0,0,6960,1699.1999999999998,17475.45,16982,5921.4
31315,87.12,2015,6030.685913,470.9264741,0,0,240,8012.000244000001,0,0,0,0,0,2961.9999384000002,0,0,11684.926656500002,11214.000182400001,5651.117689
59003,82.57,2015,25596.547848000002,547.66,0,0,0,0,0,60,0,0,0,2.000000064,0,0,609.6600001,62.00000006,6571.92
18104,94.98,2015,14400,361.46,0,0,450,360,0,36,11424,4800,2000,0,0,1968,21399.46,21038,4337.5199999999995
40615,46.89,2015,570554.7187,553.9985701,0,0,20000,0,41000,8208,69874.99998,20400,16320,2848.999969,3694.800018,0,182900.7985,182346.8,6647.982841200001
29014,102.94,2015,11187.02417,312.33,0,0,1250.0000003999999,0,238.79999999999998,0,0,0,0,75,0,1086,2962.1300003999995,2649.8000003999996,3747.96
33811,62.04,2015,58879.20118,428.52,0,0,8500,4200,301.20000000000005,1800,14280,3000,1200,0,2769.600013,288,36767.320012799995,36338.80001,5142.24
27315,68.5,2015,3092.009766,356,0,0,300,9776.026317599999,7200,0,33682.00002,0,0,0,1734.720017,0,53048.74635,52692.74635,4272
18914,104.82,2015,90047.4375,438.99,0,806.1120000000001,11500,1248,13400,300,2112,6960,9300,0,3188.40001,0,49253.50201,48814.51201,5267.88
48005,71.28,2015,5632.959228,493.32,0,5196.4295999999995,1238.0000003999999,12775.34875,1304.4,0,768,1920,0,0,0,381.6,24077.098352399997,23583.778352399997,5919.84
