,weight_2022,vatax_2022,CONS_Total_2022,weight_ref_2022,vatax_ref_2022,CONS_Total_ref_2022,weight_ref_2023,vatax_ref_2023,CONS_Total_ref_2023,weight_ref_2024,vatax_ref_2024,CONS_Total_ref_2024,weight_ref_2025,vatax_ref_2025,CONS_Total_ref_2025,weight_ref_2026,vatax_ref_2026,CONS_Total_ref_2026,weight_ref_2027,vatax_ref_2027,CONS_Total_ref_2027,weight_ref_2028,vatax_ref_2028,CONS_Total_ref_2028,weight_ref_2029,vatax_ref_2029,CONS_Total_ref_2029,weight_ref_2030,vatax_ref_2030,CONS_Total_ref_2030,weight_ref_2031,vatax_ref_2031,CONS_Total_ref_2031,weight_ref_2032,vatax_ref_2032,CONS_Total_ref_2032,ETR,ETR_ref
20,"464,580.7850","4,693.0000","77,391.0000","464,580.7850","4,693.0000","77,391.0000","499,172.6584","5,702.0000","94,022.0000","494,174.7082","6,288.0000","103,692.0000","494,174.7082","6,917.0000","114,061.0000","494,174.7082","7,874.0000","129,835.0000","494,174.7082","8,740.0000","144,130.0000","494,174.7082","9,615.0000","158,558.0000","494,174.7082","10,728.0000","176,903.0000","494,174.7082","11,999.0000","197,866.0000","494,174.7082","13,421.0000","221,313.0000","494,174.7082","15,011.0000","247,538.0000",0.0606,0.0606
21,"457,950.7181","4,533.0000","77,996.0000","457,950.7181","4,533.0000","77,996.0000","492,048.9283","5,507.0000","94,756.0000","487,122.3042","6,073.0000","104,502.0000","487,122.3042","6,681.0000","114,952.0000","487,122.3042","7,605.0000","130,850.0000","487,122.3042","8,442.0000","145,256.0000","487,122.3042","9,287.0000","159,796.0000","487,122.3042","10,361.0000","178,285.0000","487,122.3042","11,589.0000","199,411.0000","487,122.3042","12,963.0000","223,042.0000","487,122.3042","14,499.0000","249,472.0000",0.0581,0.0581
22,"462,146.1756","4,543.0000","80,415.0000","462,146.1756","4,543.0000","80,415.0000","496,556.7723","5,519.0000","97,695.0000","491,585.0135","6,086.0000","107,743.0000","491,585.0135","6,695.0000","118,517.0000","491,585.0135","7,621.0000","134,908.0000","491,585.0135","8,460.0000","149,761.0000","491,585.0135","9,307.0000","164,752.0000","491,585.0135","10,384.0000","183,814.0000","491,585.0135","11,614.0000","205,596.0000","491,585.0135","12,990.0000","229,959.0000","491,585.0135","14,530.0000","257,209.0000",0.0565,0.0565
23,"465,388.8354","4,803.0000","82,377.0000","465,388.8354","4,803.0000","82,377.0000","500,040.8748","5,835.0000","100,079.0000","495,034.2316","6,435.0000","110,371.0000","495,034.2316","7,078.0000","121,408.0000","495,034.2316","8,057.0000","138,199.0000","495,034.2316","8,944.0000","153,415.0000","495,034.2316","9,840.0000","168,772.0000","495,034.2316","10,978.0000","188,299.0000","495,034.2316","12,279.0000","210,612.0000","495,034.2316","13,734.0000","235,570.0000","495,034.2316","15,361.0000","263,485.0000",0.0583,0.0583
24,"468,641.9902","4,903.0000","84,484.0000","468,641.9902","4,903.0000","84,484.0000","503,536.2539","5,957.0000","102,639.0000","498,494.6133","6,570.0000","113,195.0000","498,494.6133","7,227.0000","124,515.0000","498,494.6133","8,226.0000","141,735.0000","498,494.6133","9,132.0000","157,340.0000","498,494.6133","10,046.0000","173,090.0000","498,494.6133","11,208.0000","193,116.0000","498,494.6133","12,536.0000","216,000.0000","498,494.6133","14,022.0000","241,596.0000","498,494.6133","15,683.0000","270,226.0000",0.0580,0.0580
25,"463,738.5474","5,022.0000","85,135.0000","463,738.5474","5,022.0000","85,135.0000","498,267.7093","6,101.0000","103,430.0000","493,278.8198","6,728.0000","114,067.0000","493,278.8198","7,401.0000","125,474.0000","493,278.8198","8,425.0000","142,827.0000","493,278.8198","9,352.0000","158,552.0000","493,278.8198","10,288.0000","174,423.0000","493,278.8198","11,479.0000","194,604.0000","493,278.8198","12,839.0000","217,665.0000","493,278.8198","14,360.0000","243,458.0000","493,278.8198","16,062.0000","272,308.0000",0.0590,0.0590
26,"459,304.1009","5,109.0000","85,573.0000","459,304.1009","5,109.0000","85,573.0000","493,503.0816","6,207.0000","103,961.0000","488,561.8978","6,846.0000","114,654.0000","488,561.8978","7,530.0000","126,119.0000","488,561.8978","8,572.0000","143,561.0000","488,561.8978","9,516.0000","159,367.0000","488,561.8978","10,468.0000","175,320.0000","488,561.8978","11,679.0000","195,604.0000","488,561.8978","13,063.0000","218,783.0000","488,561.8978","14,611.0000","244,709.0000","488,561.8978","16,343.0000","273,707.0000",0.0597,0.0597
27,"463,556.5213","5,226.0000","88,068.0000","463,556.5213","5,226.0000","88,068.0000","498,072.1298","6,349.0000","106,993.0000","493,085.1986","7,001.0000","117,997.0000","493,085.1986","7,702.0000","129,796.0000","493,085.1986","8,767.0000","147,747.0000","493,085.1986","9,732.0000","164,014.0000","493,085.1986","10,706.0000","180,432.0000","493,085.1986","11,945.0000","201,308.0000","493,085.1986","13,360.0000","225,163.0000","493,085.1986","14,943.0000","251,845.0000","493,085.1986","16,714.0000","281,688.0000",0.0593,0.0593
28,"463,100.6668","5,242.0000","89,518.0000","463,100.6668","5,242.0000","89,518.0000","497,582.3332","6,368.0000","108,754.0000","492,600.3060","7,023.0000","119,939.0000","492,600.3060","7,725.0000","131,933.0000","492,600.3060","8,793.0000","150,179.0000","492,600.3060","9,762.0000","166,714.0000","492,600.3060","10,739.0000","183,402.0000","492,600.3060","11,981.0000","204,621.0000","492,600.3060","13,401.0000","228,869.0000","492,600.3060","14,989.0000","255,990.0000","492,600.3060","16,765.0000","286,325.0000",0.0586,0.0586
29,"464,843.5929","5,336.0000","91,488.0000","464,843.5929","5,336.0000","91,488.0000","499,455.0346","6,482.0000","111,147.0000","494,454.2571","7,149.0000","122,578.0000","494,454.2571","7,864.0000","134,836.0000","494,454.2571","8,951.0000","153,484.0000","494,454.2571","9,937.0000","170,383.0000","494,454.2571","10,932.0000","187,438.0000","494,454.2571","12,196.0000","209,124.0000","494,454.2571","13,642.0000","233,906.0000","494,454.2571","15,258.0000","261,624.0000","494,454.2571","17,066.0000","292,626.0000",0.0583,0.0583
