,weight,CONS_Total,vatax,table_row
7115,4547.623343457116,187613.63823685868,10924.497383360675,2
8939,3272.1324122540395,187862.39130470325,11451.26784674245,2
7492,814.1182794629115,188092.56906323202,9348.301414028952,2
13308,517.700819750281,188243.44288749067,9539.63026805811,2
12036,1079.7404360090336,188325.62851842667,7726.347967770373,2
1175,2307.802957351234,188382.6467351894,11168.842851407922,2
12026,4800.865898653466,188501.49613910902,8277.57875571798,2
13124,2305.327641308141,188610.9272275903,2927.2143713184073,2
9726,1640.3388453222326,188614.57678007585,10762.859025953485,2
12037,1079.7404360090336,189732.9954738279,12259.622780766644,2
542,602.4971615216244,189739.83637113037,4936.672646819723,2
850,2307.802957351234,189746.10813532243,5390.494124859226,2
7867,814.1182794629115,190261.64183224546,16314.895711842782,2
9717,1640.3388453222326,190389.80216992862,9380.525889089397,2
7543,814.1182794629115,190792.04226689445,8050.294453325349,2
1288,2307.802957351234,191020.81667267205,8466.88067140317,2
7555,3272.132160492847,191091.53109479544,11304.378710921947,2
11096,4800.8665280564455,191095.3829030097,7894.116087758086,2
2144,6939.214439708846,191248.9683859322,3911.9132114180593,2
13569,517.7007819861022,191500.62104917967,3062.730506424196,2
5359,7195.832105449714,191658.23732768698,6668.158094639073,2
3334,3422.676164229016,192171.9919368747,8891.329187844562,2
11605,4800.865898653466,192334.8310668547,10100.04554234323,2
9825,1640.3388453222326,192535.19310919705,4785.255094726801,2
8266,3272.132160492847,192693.14946370843,5701.474440777814,2
10823,4800.8665280564455,192813.94625021968,11913.753939965303,2
8942,3272.1324122540395,192985.61124744156,10416.952955779067,2
7908,3272.1324122540395,193238.23760198482,9508.656306698129,2
6600,4547.623721098905,193999.94341559696,8810.574704126053,2
9501,5442.816405570072,194179.13483175056,11574.6556544298,2
12189,1090.7787796066118,195105.77034783084,15409.915662940683,2
9229,5442.816405570072,195426.35820697233,14218.847642165725,2
9707,5442.816405570072,195538.4096093811,7797.5828440386185,2
13327,2305.327641308141,195710.06751295834,5797.500950340378,2
12501,4800.8665280564455,196120.0670764869,12102.277993882723,2
