,weight,CONS_Total,vatax,table_row
7556,3272.132160492847,220478.67992115446,13278.930153468897,3
9946,5442.816405570072,220796.11354302184,10093.368430292043,3
6590,4547.623343457116,220893.50469694825,8199.46192345317,3
2254,6939.214439708846,221088.5543280755,11513.30451140073,3
12141,1090.7787796066118,221203.91526814312,15803.535345115977,3
12696,2305.327641308141,221281.10178181963,11436.454064411208,3
9226,5442.816405570072,221358.96128800936,12452.2958120499,3
11504,4800.865898653466,221373.55949795153,11586.646949117345,3
9677,5442.816405570072,221824.89130554534,13937.250326120602,3
13869,541.1050437126495,221839.56743617094,8723.70168033515,3
11514,1079.7404360090336,221929.8737241089,10870.969026551436,3
1784,2307.802957351234,222026.73810930375,11815.824705206822,3
7785,3272.132160492847,222318.1259688135,13462.383616890012,3
13563,517.7007819861022,222493.09686276948,3234.677480349642,3
1180,2307.802957351234,223074.89352087223,8470.50899185272,3
5147,7785.998859758548,224212.96860765823,9617.183580553048,3
5509,4547.623721098905,224729.14312609582,18434.333886900935,3
7092,1324.2290027865074,224855.65855909616,10418.446569588845,3
11630,4800.8665280564455,225497.91178134995,11853.513359874294,3
11061,1079.74056188963,225575.81424450863,19548.50696442605,3
8184,772.3876030264923,225671.62260421723,10809.59679881012,3
11187,1079.7404360090336,226067.45138431733,14358.450506409623,3
12364,4800.8665280564455,226393.80442666425,11740.106496525934,3
1594,2307.802957351234,227016.89526102692,8567.659166182137,3
5681,1324.229128667104,227142.05039001105,11157.069527540234,3
9767,1640.3388453222326,227198.88603965586,17057.455389617022,3
13547,2305.327641308141,227324.21658560878,10740.140929122404,3
2807,6939.214439708846,227365.30491704692,8853.382003819068,3
13111,2305.327641308141,227388.1723435085,2757.117554044874,3
7324,814.1184053435077,227581.951230362,15579.129571312764,3
12359,4800.8665280564455,227728.18391210225,10960.953495197055,3
11962,4800.865898653466,227819.70731415987,11137.976837331124,3
