,weight_2023,pitax_2023,total_income_2023,weight_2024,pitax_2024,total_income_2024,weight_2025,pitax_2025,total_income_2025,weight_2026,pitax_2026,total_income_2026,weight_2027,pitax_2027,total_income_2027,weight_ref_2027,pitax_ref_2027,total_income_ref_2027,weight_ref_2028,pitax_ref_2028,total_income_ref_2028,weight_ref_2029,pitax_ref_2029,total_income_ref_2029,weight_ref_2030,pitax_ref_2030,total_income_ref_2030,weight_ref_2031,pitax_ref_2031,total_income_ref_2031,weight_ref_2032,pitax_ref_2032,total_income_ref_2032,ETR,ETR_ref
10,"23,681.8244",0.0000,"3,613.0000","21,096.7491",0.0000,"3,605.0000","21,096.7491",0.0000,"4,001.0000","21,096.7491",3.0000,"4,441.0000","21,096.7491",6.0000,"4,930.0000","21,096.7491",6.0000,"4,930.0000","21,096.7491",10.0000,"5,472.0000","21,096.7491",22.0000,"6,074.0000","21,096.7491",121.0000,"6,742.0000","21,096.7491",285.0000,"7,484.0000","21,096.7491",477.0000,"8,307.0000",0.0012,0.0012
11,"23,631.1138",0.0000,"3,889.0000","21,051.5741",0.0000,"3,881.0000","21,051.5741",2.0000,"4,307.0000","21,051.5741",4.0000,"4,781.0000","21,051.5741",7.0000,"5,307.0000","21,051.5741",7.0000,"5,307.0000","21,051.5741",10.0000,"5,891.0000","21,051.5741",82.0000,"6,539.0000","21,051.5741",245.0000,"7,258.0000","21,051.5741",434.0000,"8,057.0000","21,051.5741",667.0000,"8,943.0000",0.0013,0.0013
12,"23,681.8244",0.0000,"4,195.0000","21,096.7491",0.0000,"4,186.0000","21,096.7491",2.0000,"4,646.0000","21,096.7491",3.0000,"5,157.0000","21,096.7491",5.0000,"5,724.0000","21,096.7491",5.0000,"5,724.0000","21,096.7491",37.0000,"6,354.0000","21,096.7491",183.0000,"7,053.0000","21,096.7491",364.0000,"7,829.0000","21,096.7491",578.0000,"8,690.0000","21,096.7491",844.0000,"9,646.0000",0.0009,0.0009
13,"23,681.8244",0.0000,"4,430.0000","21,096.7491",1.0000,"4,420.0000","21,096.7491",3.0000,"4,906.0000","21,096.7491",5.0000,"5,446.0000","21,096.7491",11.0000,"6,045.0000","21,096.7491",11.0000,"6,045.0000","21,096.7491",109.0000,"6,709.0000","21,096.7491",278.0000,"7,447.0000","21,096.7491",473.0000,"8,267.0000","21,096.7491",718.0000,"9,176.0000","21,096.7491","1,002.0000","10,185.0000",0.0018,0.0018
14,"23,681.8244",0.0000,"4,692.0000","21,096.7491",2.0000,"4,681.0000","21,096.7491",4.0000,"5,196.0000","21,096.7491",5.0000,"5,768.0000","21,096.7491",47.0000,"6,402.0000","21,096.7491",47.0000,"6,402.0000","21,096.7491",198.0000,"7,106.0000","21,096.7491",382.0000,"7,888.0000","21,096.7491",601.0000,"8,756.0000","21,096.7491",871.0000,"9,719.0000","21,096.7491","1,175.0000","10,788.0000",0.0073,0.0073
15,"23,681.8244",0.0000,"4,934.0000","21,096.7491",1.0000,"4,923.0000","21,096.7491",2.0000,"5,464.0000","21,096.7491",5.0000,"6,065.0000","21,096.7491",102.0000,"6,732.0000","21,096.7491",102.0000,"6,732.0000","21,096.7491",269.0000,"7,473.0000","21,096.7491",460.0000,"8,295.0000","21,096.7491",703.0000,"9,207.0000","21,096.7491",985.0000,"10,220.0000","21,096.7491","1,305.0000","11,344.0000",0.0152,0.0152
16,"23,681.8244",1.0000,"5,144.0000","21,096.7491",2.0000,"5,132.0000","21,096.7491",3.0000,"5,697.0000","21,096.7491",29.0000,"6,324.0000","21,096.7491",171.0000,"7,019.0000","21,096.7491",171.0000,"7,019.0000","21,096.7491",351.0000,"7,791.0000","21,096.7491",564.0000,"8,648.0000","21,096.7491",828.0000,"9,600.0000","21,096.7491","1,127.0000","10,656.0000","21,096.7491","1,463.0000","11,828.0000",0.0244,0.0244
17,"23,681.8244",1.0000,"5,326.0000","21,096.7491",2.0000,"5,314.0000","21,096.7491",4.0000,"5,899.0000","21,096.7491",65.0000,"6,548.0000","21,096.7491",228.0000,"7,268.0000","21,096.7491",228.0000,"7,268.0000","21,096.7491",414.0000,"8,067.0000","21,096.7491",645.0000,"8,955.0000","21,096.7491",922.0000,"9,940.0000","21,096.7491","1,233.0000","11,033.0000","21,096.7491","1,580.0000","12,247.0000",0.0314,0.0314
18,"23,681.8244",3.0000,"5,562.0000","21,096.7491",5.0000,"5,549.0000","21,096.7491",14.0000,"6,160.0000","21,096.7491",129.0000,"6,837.0000","21,096.7491",303.0000,"7,590.0000","21,096.7491",303.0000,"7,590.0000","21,096.7491",502.0000,"8,424.0000","21,096.7491",754.0000,"9,351.0000","21,096.7491","1,043.0000","10,380.0000","21,096.7491","1,368.0000","11,521.0000","21,096.7491","1,729.0000","12,789.0000",0.0399,0.0399
19,"23,681.8244",2.0000,"5,741.0000","21,096.7491",2.0000,"5,728.0000","21,096.7491",34.0000,"6,358.0000","21,096.7491",181.0000,"7,058.0000","21,096.7491",362.0000,"7,834.0000","21,096.7491",362.0000,"7,834.0000","21,096.7491",577.0000,"8,696.0000","21,096.7491",845.0000,"9,653.0000","21,096.7491","1,146.0000","10,714.0000","21,096.7491","1,484.0000","11,893.0000","21,096.7491","1,861.0000","13,201.0000",0.0462,0.0462
