field_name,long_name,description,itr_ref,notes,row_var,row_label,start_year,cpi_inflatable,cpi_inflated,col_var,col_label,boolean_value,integer_value,value,benchmark,range,min,max,out_of_range_minmsg,out_of_range_maxmsg,out_of_range_action
_rate_health_services_paramedical_curr_law,VAT for consumption of _rate_health_services_paramedical_curr_law,VAT for consumption of _rate_health_services_paramedical_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.0,0.15,,0,1.0,,,stop
_rate_health_services_testing,VAT for consumption of _rate_health_services_testing,VAT for consumption of _rate_health_services_testing,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.0,0.15,,0,1.0,,,stop
_rate_health_services_testing_curr_law,VAT for consumption of _rate_health_services_testing_curr_law,VAT for consumption of _rate_health_services_testing_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.0,0.15,,0,1.0,,,stop
_rate_hospital_services,VAT for consumption of _rate_hospital_services,VAT for consumption of _rate_hospital_services,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.1,0.15,,0,1.0,,,stop
_rate_hospital_services_curr_law,VAT for consumption of _rate_hospital_services_curr_law,VAT for consumption of _rate_hospital_services_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.1,0.15,,0,1.0,,,stop
_rate_hotel_services,VAT for consumption of _rate_hotel_services,VAT for consumption of _rate_hotel_services,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.14,0.15,,0,1.0,,,stop
_rate_hotel_services_curr_law,VAT for consumption of _rate_hotel_services_curr_law,VAT for consumption of _rate_hotel_services_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.14,0.15,,0,1.0,,,stop
_rate_house_repair_goods,VAT for consumption of _rate_house_repair_goods,VAT for consumption of _rate_house_repair_goods,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.13,0.15,,0,1.0,,,stop
_rate_house_repair_goods_curr_law,VAT for consumption of _rate_house_repair_goods_curr_law,VAT for consumption of _rate_house_repair_goods_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.13,0.15,,0,1.0,,,stop
_rate_house_repair_services,VAT for consumption of _rate_house_repair_services,VAT for consumption of _rate_house_repair_services,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.0,0.15,,0,1.0,,,stop
_rate_house_repair_services_curr_law,VAT for consumption of _rate_house_repair_services_curr_law,VAT for consumption of _rate_house_repair_services_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.0,0.15,,0,1.0,,,stop
_rate_household_accessories_medical,VAT for consumption of _rate_household_accessories_medical,VAT for consumption of _rate_household_accessories_medical,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.15,0.15,,0,1.0,,,stop
_rate_household_accessories_medical_curr_law,VAT for consumption of _rate_household_accessories_medical_curr_law,VAT for consumption of _rate_household_accessories_medical_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.15,0.15,,0,1.0,,,stop
_rate_household_electric_equipment,VAT for consumption of _rate_household_electric_equipment,VAT for consumption of _rate_household_electric_equipment,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.15,0.15,,0,1.0,,,stop
_rate_household_electric_equipment_curr_law,VAT for consumption of _rate_household_electric_equipment_curr_law,VAT for consumption of _rate_household_electric_equipment_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.15,0.15,,0,1.0,,,stop
